"","x"
"1",-40.7725338471305
"2",-37.7681261315708
"3",-65.3457120598043
"4",-37.8421389226536
"5",-34.8377312070939
"6",-63.8284670533982
"7",-36.3248939162475
"8",-33.3204862006877
"9",-38.3075216681522
"10",-10.8039485310016
"11",-7.7995408154418
"12",-35.3771267436753
"13",-7.87355360652465
"14",-4.86914589096489
"15",-33.8598817372692
"16",-6.35630860011851
"17",-3.35190088455875
"18",-38.6883789534856
"19",-11.1848058163349
"20",-8.18039810077514
"21",-35.7579840290087
"22",-8.254410891858
"23",-5.25000317629824
"24",-34.2407390226025
"25",-6.73716588545185
"26",-3.73275816989209
"27",-66.4205547180833
"28",-38.9169815809326
"29",-35.9125738653729
"30",-63.4901597936064
"31",-35.9865866564557
"32",-32.982178940896
"33",-61.9729147872003
"34",-34.4693416500496
"35",-31.4649339344898
"36",-36.4519694019543
"37",-8.94839626480366
"38",-5.9439885492439
"39",-33.5215744774774
"40",-6.01800134032676
"41",-3.013593624767
"42",-32.0043294710713
"43",-4.50075633392061
"44",-1.49634861836086
"45",-36.8328266872877
"46",-9.32925355013701
"47",-6.32484583457725
"48",-33.9024317628108
"49",-6.3988586256601
"50",-3.39445091010034
"51",-32.3851867564046
"52",-4.88161361925396
"53",-1.8772059036942
"54",-65.794495902728
"55",-38.2909227655773
"56",-35.2865150500176
"57",-62.8641009782511
"58",-35.3605278411004
"59",-32.3561201255406
"60",-61.3468559718449
"61",-33.8432828346943
"62",-30.8388751191345
"63",-35.825910586599
"64",-8.32233744944832
"65",-5.31792973388857
"66",-32.8955156621221
"67",-5.39194252497142
"68",-2.38753480941166
"69",-31.3782706557159
"70",-3.87469751856527
"71",-0.870289803005516
"72",-36.2067678719323
"73",-8.70319473478167
"74",-5.69878701922191
"75",-33.2763729474554
"76",-5.77279981030476
"77",-2.768392094745
"78",-31.7591279410493
"79",-4.25555480389862
"80",-1.25114708833886
"81",-65.794495902728
"82",-38.2909227655773
"83",-35.2865150500175
"84",-62.8641009782511
"85",-35.3605278411004
"86",-32.3561201255406
"87",-61.3468559718449
"88",-33.8432828346943
"89",-30.8388751191345
"90",-35.825910586599
"91",-8.32233744944832
"92",-5.31792973388856
"93",-32.8955156621221
"94",-5.39194252497141
"95",-2.38753480941165
"96",-31.3782706557159
"97",-3.87469751856527
"98",-0.870289803005509
"99",-36.2067678719323
"100",-8.70319473478166
"101",-5.6987870192219
"102",-33.2763729474554
"103",-5.77279981030476
"104",-2.768392094745
"105",-31.7591279410493
"106",-4.25555480389861
"107",-1.25114708833885
"108",-65.4507156871844
"109",-37.9471425500337
"110",-34.942734834474
"111",-62.5203207627075
"112",-35.0167476255568
"113",-32.0123399099971
"114",-61.0030757563013
"115",-33.4995026191507
"116",-30.4950949035909
"117",-35.4821303710554
"118",-7.97855723390474
"119",-4.97414951834498
"120",-32.5517354465785
"121",-5.04816230942783
"122",-2.04375459386807
"123",-31.0344904401724
"124",-3.53091730302169
"125",-0.526509587461931
"126",-35.8629876563887
"127",-8.35941451923808
"128",-5.35500680367833
"129",-32.9325927319118
"130",-5.42901959476118
"131",-2.42461187920142
"132",-31.4153477255057
"133",-3.91177458835503
"134",-0.907366872795276
"135",-63.5951634209865
"136",-36.0915902838358
"137",-33.0871825682761
"138",-60.6647684965096
"139",-33.1611953593589
"140",-30.1567876437992
"141",-59.1475234901035
"142",-31.6439503529528
"143",-28.639542637393
"144",-33.6265781048575
"145",-6.12300496770684
"146",-3.11859725214709
"147",-30.6961831803806
"148",-3.19261004322994
"149",-0.18820232767018
